,法院名称,上诉法院,级别
0,北京高级人民法院,最高人民法院,高级
1,天津高级人民法院,最高人民法院,高级
2,河北高级人民法院,最高人民法院,高级
3,山西高级人民法院,最高人民法院,高级
4,内蒙古高级人民法院,最高人民法院,高级
5,辽宁高级人民法院,最高人民法院,高级
6,吉林高级人民法院,最高人民法院,高级
7,黑龙江高级人民法院,最高人民法院,高级
8,上海高级人民法院,最高人民法院,高级
9,江苏高级人民法院,最高人民法院,高级
10,浙江高级人民法院,最高人民法院,高级
11,安徽高级人民法院,最高人民法院,高级
12,福建高级人民法院,最高人民法院,高级
13,江西高级人民法院,最高人民法院,高级
14,山东高级人民法院,最高人民法院,高级
15,河南高级人民法院,最高人民法院,高级
16,湖北高级人民法院,最高人民法院,高级
17,湖南高级人民法院,最高人民法院,高级
18,广东高级人民法院,最高人民法院,高级
19,广西高级人民法院,最高人民法院,高级
20,海南高级人民法院,最高人民法院,高级
21,重庆高级人民法院,最高人民法院,高级
22,四川高级人民法院,最高人民法院,高级
23,贵州高级人民法院,最高人民法院,高级
24,云南高级人民法院,最高人民法院,高级
25,西藏高级人民法院,最高人民法院,高级
26,陕西高级人民法院,最高人民法院,高级
27,甘肃高级人民法院,最高人民法院,高级
28,青海高级人民法院,最高人民法院,高级
29,宁夏高级人民法院,最高人民法院,高级
30,新疆高级人民法院,最高人民法院,高级
31,新疆兵团分院,最高人民法院,高级
